"Gene_Symbol","ENTREZ_GENE_ID","FoldChanges"
"ANXA2P1",303,1.014414997
"ANXA2P2",304,1.063852489
"ANXA2P3",305,1.012372499
"ANXA3",306,0.959485419
"ANXA4",307,0.534534617
"ANXA5",308,0.721889181
"ANXA6",309,0.671946683
"ANXA7",310,0.461883204
"ANXA8",244,1.235139154
"ANXA8L1",653145,1.235139154
"ANXA8L2",728113,1.235139154
"ANXA9",8416,1.060736707
"AOAH",313,0.965580918
"AOC2",314,1.215400676
"AOC3",8639,1.18866493
"AOF1",221656,1.192781679
"AOF2",23028,0.618596423
"AOX1",316,0.997136666
"AP1B1",162,1.060906181
"AP1G1",164,0.776453904
"AP1G2",8906,1.11799737
"AP1GBP1",11276,1.014108779
"AP1M1",8907,0.673765576
"AP1M2",10053,1.050527793
"AP1S1",1174,0.829869967
"AP1S2",8905,0.652312597
"AP1S3",130340,1.017737384
"AP2A1",160,1.163847371
"AP2A2",161,0.377976576
"AP2B1",163,0.455589347
"AP2M1",1173,0.293654475
"AP2S1",1175,0.471345654
"AP3B1",8546,0.880884177
"AP3B2",8120,1.068398839
"AP3D1",8943,1.416574732
"AP3M1",26985,0.767083243
"AP3M2",10947,0.748198336
"AP3S1",1176,0.765220103
"AP3S2",10239,0.794647997
"AP4B1",10717,0.794512345
"AP4E1",23431,0.985671853
"AP4M1",9179,0.943547717
"AP4S1",11154,0.84335023
"APAF1",317,1.046865634
"APBA1",320,1.141229351
"APBA2",321,0.699933862
"APBA3",9546,1.249745917
"APBB1",322,0.716589013
"APBB1IP",54518,1.139475128
"APBB2",323,0.885423386
"APBB3",10307,0.991680733
"APC",324,1.01286189
"APC2",10297,0.978866995
"APCDD1",147495,0.931225702
"APCDD1L",164284,0.910022967
"APCS",325,1.041551375
"APEH",327,0.935316792
"APEX1",328,0.406345221
"APEX2",27301,1.101053957
"APH1A",51107,1.062045463
"APH1B",83464,1.066052899
"API5",8539,1.010065584
"APIP",51074,0.797840918
"APITD1",1325,1.177937093
"APLF",200558,0.941474952
"APLN",8862,1.003506045
"APLNR",187,1.414178714
"APLP1",333,0.827429682
"APLP2",334,0.593617736
"APOA1",335,1.145930777
"APOA1BP",128240,0.481912008
"APOA2",336,0.97724709
"APOA4",337,1.088036695
"APOA5",116519,1.052088938
"APOB",338,1.036954406
"APOB48R",55911,0.971616954
"APOBEC1",339,1.14702086
"APOBEC2",10930,1.203088171
"APOBEC3A",200315,1.063157158
"APOBEC3B",9582,0.991880226
"APOBEC3C",27350,1.219018577
"APOBEC3D",140564,1.088614079
"APOBEC3F",200316,1.035629401
"APOBEC3G",60489,1.132322644
"APOBEC4",403314,1.175279206
"APOC1",341,1.143730107
"APOC2",344,1.013867689
"APOC3",345,1.050608164
"APOC4",346,1.119925228
"APOD",347,1.528850916
"APOE",348,0.752554502
"APOF",319,0.872526251
"APOH",350,1.079644708
"APOL1",8542,0.908743094
"APOL2",23780,0.827907303
"APOL3",80833,0.926821735
"APOL4",80832,1.032822847
"APOL5",80831,1.239476215
"APOL6",80830,1.023613652
"APOLD1",81575,1.201127295
"APOM",55937,1.047938813
"APOO",79135,0.410357023
"APOOL",139322,1.12327725
"APP",351,1.133488311
"APPBP2",10513,1.214735699
"APPL1",26060,1.273027811
"APPL2",55198,0.951744449
"APRT",353,0.881129576
"APTX",54840,0.615310286
"AQP1",358,1.019171611
"AQP10",89872,1.009049491
